protocol,port,description
TCP,687,asipregistry
TCP,2013,raid-am
TCP,481,Ph service
TCP,125,Locus PC-Interface Net Map Ser
TCP,6669,IRC
TCP,6668,IRC
TCP,903,IDEAFARM-CATCH / NetDevil trojan
TCP,1455,ESL License Manager
TCP,683,CORBA IIOP
TCP,1011,Doly (Windows Trojan)
TCP,2043,isis-bcast
TCP,2047,dls
TCP,31337,BO2K
TCP,256,RAP/Checkpoint SNMP
Unknown,9929,Unknown
TCP,5998,NCD diagnostic telnet port
TCP,406,Interactive Mail Support Protocol
Unknown,44442,Unknown
TCP,783,HP performance data alarm manager
Unknown,843,Unknown
TCP,2042,isis
TCP,2045,cdfunc
Unknown,4040,Unknown
Unknown,6060,Unknown
Unknown,6051,Unknown
Unknown,1145,Unknown
Unknown,3916,Unknown
Unknown,9443,Unknown
Unknown,9444,Unknown
Unknown,1875,Unknown
Unknown,7272,Unknown
Unknown,4252,Unknown
Unknown,4200,Unknown
Unknown,7024,Unknown
TCP,1556,AshWin CI Tecnologies
Unknown,13724,Unknown
Unknown,1141,Unknown
Unknown,1233,Unknown
TCP,8765,Ultraseek HTTP
Unknown,1137,Unknown
Unknown,3963,Unknown
Unknown,5938,Unknown
Unknown,9191,Unknown
Unknown,3808,Unknown
Unknown,8686,Unknown
Unknown,3981,Unknown
TCP,2710,SSO Service
Unknown,3852,Unknown
Unknown,3849,Unknown
Unknown,3944,Unknown
Unknown,3853,Unknown
Unknown,9988,Unknown
Unknown,1163,Unknown
Unknown,4164,Unknown
Unknown,3820,Unknown
Unknown,6481,Unknown
Unknown,3731,Unknown
Unknown,5081,Unknown
Unknown,40000,Unknown
Unknown,8097,Unknown
Unknown,4555,Unknown
Unknown,3863,Unknown
Unknown,1287,Unknown
Unknown,4430,Unknown
Unknown,7744,Unknown
TCP,1812,RADIUS
Unknown,7913,Unknown
Unknown,1166,Unknown
Unknown,1164,Unknown
Unknown,1165,Unknown
Unknown,8019,Unknown
Unknown,10160,Unknown
Unknown,4658,Unknown
Unknown,7878,Unknown
TCP,3304,OP Session Server
TCP,3307,OP Session Proxy
Unknown,1259,Unknown
TCP,1092,OBRPD
